,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32
180,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,2,0,0,1,2,7,1,22,1,1,2,0,2,2,1,0,0,0,2,2,0,0,0,2,2,1,0,2,1,1,2,1,2,1,2,1,0,2,1,0
181,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,0,0,1,2,3,1,-1,2,0,2,1,0,0,0,0,2,1,1,0,1,0,0,1,1,2,1,2,0,1,1,2,1,1,0,2,1,2,2,0
182,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,6,0,0,-1,1,1,1,2,1,1,2,2,0,2,1,1,2,1,2,1,0,0,1,0,2,1,2,1,1,2,2,1,1,2,2,2
183,0,1,2,0,0,3,2,6,26,11,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,1,2,4,2,1,4,2,-1,1,2,0,2,0,2,1,1,2,0,0,2,0,0,2,0,2,1,2,1,2,1,1,2,2,2,1,2,2,0,1,0
184,0,1,2,3,3,0,0,4,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,1,0,1,3,5,5,2,-1,0,1,0,2,0,0,2,2,1,2,1,0,2,0,1,0,2,0,1,2,1,1,0,0,1,2,1,2,2,0,1,2
185,0,1,2,0,0,4,3,2,27,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,1,1,2,4,2,1,4,2,-1,1,0,0,0,2,1,1,2,0,1,1,1,1,2,0,2,1,1,1,2,1,1,1,2,0,0,1,1,1,0,0,0
186,0,1,0,2,2,1,4,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,1,0,1,1,4,3,2,0,-1,0,1,1,0,1,1,2,2,2,0,2,1,0,1,2,1,1,2,0,1,1,2,1,1,0,0,0,1,2,2,1,1
187,0,0,2,3,3,0,5,4,-1,5,0,0,0,0,0,0,0,0,0,2,1,4,5,3,6,0,0,2,0,0,3,5,5,2,-1,0,1,0,1,2,1,1,2,0,0,2,2,2,1,1,1,2,2,1,2,0,1,0,0,1,2,2,2,0,1,1,2
188,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,1,4,3,2,0,-1,0,0,0,2,2,0,0,0,2,0,2,0,0,1,0,1,1,0,0,0,2,2,2,1,1,0,2,0,0,2,0,1
189,0,0,1,1,1,5,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,0,0,1,2,3,1,-1,2,0,2,1,1,2,1,0,1,2,0,1,0,1,1,1,1,0,1,0,1,0,2,2,2,2,2,1,2,1,0,0
190,0,0,1,3,3,0,5,3,-1,8,0,0,0,0,0,0,0,0,0,0,1,4,5,3,3,0,0,2,0,0,3,5,5,1,13,0,2,0,0,2,1,2,2,1,0,2,2,0,1,1,1,2,2,2,0,1,0,1,2,2,0,1,0,1,2,0,1
191,0,0,1,1,1,5,1,5,-1,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,2,0,0,1,2,7,1,-1,2,0,1,0,2,2,1,2,0,0,1,0,1,2,1,0,0,2,0,2,1,0,2,1,1,1,1,0,2,1,2,1
192,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,0,0,1,2,3,1,16,0,1,0,2,1,0,1,1,0,1,2,0,1,2,2,0,2,2,2,2,0,0,1,2,2,0,0,0,0,0,2,1
193,0,1,2,0,0,3,2,6,28,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,1,2,4,2,1,4,2,-1,2,1,0,2,1,1,2,0,1,2,2,1,0,1,2,0,0,1,1,0,1,0,1,2,1,2,0,2,0,1,0,0
194,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,0,2,0,0,1,2,3,1,-1,2,0,1,1,2,0,1,1,0,0,2,2,1,0,0,0,2,0,1,1,0,0,1,1,1,0,2,2,2,1,1,0
195,0,1,2,3,3,0,0,4,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,1,0,1,3,5,5,2,11,1,0,0,2,1,0,2,0,2,2,2,2,2,0,0,0,1,0,0,1,1,1,2,2,2,2,1,0,1,1,0,2
196,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,0,0,1,2,3,1,16,1,1,2,2,2,1,2,0,2,2,2,2,2,0,0,0,1,1,0,1,2,1,2,0,0,2,0,1,1,1,2,1
197,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,0,0,1,2,3,1,-1,0,2,0,1,1,2,1,2,2,1,0,1,1,1,0,1,1,1,1,0,2,1,1,1,2,0,0,1,1,2,2,1
198,0,1,2,3,3,0,0,4,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,1,0,1,3,5,5,2,11,1,0,0,0,0,1,2,1,1,1,1,1,1,0,1,0,0,2,1,1,2,0,2,0,0,2,2,1,1,2,1,2
199,0,1,0,2,2,1,0,4,29,1,0,0,0,0,0,0,0,0,1,1,0,1,4,4,2,0,1,1,0,1,3,5,5,0,-1,1,1,2,2,1,1,1,2,0,2,0,0,2,1,0,0,0,2,0,1,0,1,0,2,1,2,0,1,1,2,2,1
200,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,1,1,-1,2,1,2,1,0,0,0,1,0,0,1,2,0,1,0,1,0,2,0,1,1,1,2,1,2,2,2,2,0,0,1,0
201,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,0,0,1,2,3,1,-1,2,1,1,0,2,2,0,0,1,0,1,2,0,1,0,2,1,1,2,2,2,0,0,0,0,1,2,1,1,1,1,1
202,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,0,2,0,0,1,2,3,1,-1,2,2,0,0,0,0,1,0,2,1,0,1,0,1,1,1,2,1,1,1,2,1,1,0,2,1,1,1,2,2,0,2
203,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,7,1,-1,0,1,0,1,1,2,0,1,0,1,0,1,2,2,1,0,0,0,0,1,2,2,0,2,0,0,1,1,2,1,0,0
204,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,6,0,0,-1,1,0,0,2,2,2,1,0,0,0,2,0,0,0,1,2,0,0,2,0,2,2,1,0,1,0,2,0,2,1,0,1
205,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,1,1,23,1,0,2,0,2,1,1,2,1,1,2,2,0,1,2,1,0,2,2,2,0,0,2,0,1,2,0,0,1,2,1,0
206,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,0,0,1,2,3,1,-1,0,2,0,2,2,2,0,0,2,0,1,0,1,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,1,2,0,2
207,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,3,2,0,-1,1,2,2,0,2,0,0,2,2,0,2,2,0,2,0,0,0,1,2,2,1,0,0,1,2,0,1,2,2,2,0,2
208,0,1,2,0,0,4,0,6,-1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,1,1,2,4,2,1,4,2,-1,2,1,2,2,2,2,1,0,2,2,2,1,1,0,2,0,1,2,1,0,1,1,0,1,0,0,0,2,0,1,2,2
209,0,1,2,0,0,3,2,6,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,1,2,4,2,1,4,2,8,1,1,2,2,2,1,2,1,2,0,0,2,0,1,1,2,2,2,0,0,1,0,1,0,0,0,0,1,0,2,1,0
210,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,1,1,-1,2,2,1,1,2,1,1,2,0,1,0,1,2,0,1,0,1,1,2,0,0,1,2,2,2,0,2,2,1,1,1,2
211,0,0,1,3,3,0,5,3,30,8,0,0,0,0,0,0,0,0,0,2,1,4,5,3,3,0,0,2,0,1,3,5,5,2,13,1,2,0,0,2,2,1,2,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,2,2,0,1
212,0,1,2,3,3,4,3,2,3,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,0,1,0,1,3,5,5,2,-1,1,1,0,2,0,2,2,0,2,0,1,0,2,0,2,1,1,0,2,0,2,2,1,0,1,2,2,0,0,0,0,2
213,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,1,4,4,6,0,0,0,0,1,2,2,0,1,0,0,0,0,0,2,0,0,2,2,0,0,2,1,1,2,0,0,0,2,1,1,0,2,0
214,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,1,4,3,2,0,4,2,0,2,0,2,0,0,1,2,0,2,2,1,1,0,1,0,1,0,2,2,1,1,1,2,1,0,1,1,0,0,0
215,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,2,0,0,1,2,3,1,-1,1,1,0,0,0,2,0,1,0,0,0,2,1,0,2,2,2,1,0,0,0,2,2,2,0,1,1,1,1,2,0,1
216,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,1,1,18,2,2,0,2,1,2,2,2,0,0,2,1,1,2,0,1,2,1,1,0,0,2,1,1,0,0,2,2,0,1,1,2
217,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,1,1,23,0,2,1,0,0,2,0,2,0,2,1,1,0,0,0,1,1,1,0,1,0,1,1,0,2,0,2,0,2,0,1,2
218,0,0,1,1,1,5,1,5,-1,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,2,0,0,1,2,3,1,-1,1,0,0,2,2,0,2,2,0,1,2,1,2,0,2,2,2,2,2,2,1,2,2,1,2,2,2,2,0,1,2,0
219,0,1,0,2,2,3,2,6,-1,-1,2,0,0,0,0,0,0,0,1,1,0,1,1,2,5,0,1,1,2,4,2,1,4,0,-1,0,1,2,0,2,2,2,1,2,1,1,1,1,2,2,0,0,1,1,1,0,1,1,0,2,2,1,0,0,1,0,2
220,0,1,2,0,0,3,2,6,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,1,2,4,2,1,4,2,-1,0,1,2,2,1,2,1,1,2,0,1,2,2,1,0,1,1,1,2,2,0,2,0,2,2,2,2,0,2,1,0,1
221,0,1,2,0,0,4,3,2,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,1,1,2,4,2,1,4,2,9,2,2,2,0,0,0,1,1,2,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,2,2,1,2,0,2,1
222,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,2,0,0,1,2,7,1,22,2,0,2,1,1,2,0,1,0,1,2,1,2,0,2,1,1,2,2,0,0,1,1,0,1,1,2,2,0,2,0,1
223,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,3,2,0,-1,2,2,0,2,2,2,1,0,1,1,2,2,1,2,2,0,1,0,1,2,0,1,2,0,0,1,0,1,2,0,2,2
224,0,1,0,2,2,1,4,1,-1,12,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,1,1,2,4,2,1,4,0,-1,0,0,0,2,0,2,2,0,1,1,0,1,2,0,0,0,0,0,0,2,1,2,1,2,0,1,1,2,2,2,1,2
225,0,1,2,0,0,3,2,6,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,1,2,4,2,1,4,2,-1,1,2,2,1,2,0,1,1,1,1,2,2,0,2,1,2,0,0,2,2,2,2,2,0,2,0,2,2,1,1,2,1
226,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,0,0,1,2,3,1,-1,2,0,0,1,1,0,0,0,1,2,2,1,0,2,2,1,0,0,1,1,0,1,0,0,1,2,1,1,1,1,2,2
227,0,1,0,2,2,1,4,1,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,1,0,1,1,4,3,2,0,-1,1,2,0,0,1,2,2,2,0,2,2,0,2,0,2,0,2,1,2,0,0,1,2,0,2,1,0,2,0,2,0,2
228,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,1,4,3,2,0,-1,1,2,1,1,0,2,1,2,2,0,1,0,1,1,0,1,1,0,2,1,2,2,2,1,2,2,2,2,2,1,1,2
229,0,1,2,3,3,4,3,2,24,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,0,1,2,1,3,5,5,2,10,2,1,2,2,0,1,1,1,2,1,2,2,1,1,1,0,0,1,0,1,0,1,2,0,0,1,2,0,0,0,1,0
230,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,6,0,0,-1,2,0,1,1,1,2,0,0,2,1,1,2,0,0,1,2,0,1,2,0,1,0,0,1,0,0,1,2,2,1,0,1
231,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,2,0,0,1,2,3,1,-1,1,1,2,1,1,2,0,1,2,1,1,2,1,0,2,0,0,1,2,2,2,0,1,1,0,0,0,0,1,0,2,1
232,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,2,0,0,1,2,3,1,15,1,1,0,1,1,0,2,2,1,2,0,1,0,0,0,2,1,0,2,1,2,2,1,0,1,0,1,2,0,0,0,2
233,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,1,1,20,2,1,0,0,2,1,2,0,2,1,1,1,2,0,1,1,2,0,0,0,1,0,0,0,1,1,1,1,1,2,1,1
234,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,1,1,-1,0,2,1,2,0,2,1,1,2,0,0,1,2,0,0,2,0,1,2,0,1,1,2,1,2,0,0,0,2,1,0,0
235,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,1,4,4,6,0,-1,1,0,2,1,1,2,0,0,2,2,1,1,2,1,0,2,2,0,0,2,2,2,1,1,0,0,2,1,0,1,2,1
236,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,1,4,3,2,0,-1,0,1,1,2,1,2,2,0,1,1,2,1,2,2,1,2,2,1,1,2,0,0,0,2,0,1,2,2,2,2,1,1
237,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,7,1,-1,2,1,0,0,0,0,1,1,1,2,2,2,2,2,0,0,1,0,1,2,1,0,1,2,2,0,2,2,0,1,1,2
238,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,1,1,-1,2,1,2,2,1,0,1,0,0,0,2,2,2,0,2,2,1,0,2,2,0,0,2,1,1,1,2,1,2,0,0,2
239,0,1,0,2,2,1,4,1,-1,12,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,1,2,4,2,1,4,0,-1,2,1,1,1,1,2,0,2,1,0,1,1,2,1,1,0,0,2,2,2,0,1,2,0,0,2,2,0,2,2,0,0
240,0,0,1,3,3,0,5,3,-1,-1,0,0,0,0,0,0,0,0,0,0,1,4,5,3,7,0,0,2,0,1,3,5,5,1,-1,1,2,2,1,0,2,2,1,2,2,0,2,1,1,1,0,0,0,0,1,1,1,1,1,2,1,2,1,1,1,0,2
241,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,6,0,0,-1,0,1,2,0,1,1,2,1,1,1,0,2,1,2,1,2,0,2,2,1,1,2,0,1,1,0,1,2,0,0,1,1
242,0,1,2,3,3,0,0,4,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,1,0,1,3,5,5,2,-1,2,1,1,2,2,2,2,2,0,0,0,1,2,1,1,0,0,2,0,0,1,2,1,1,2,1,0,0,0,0,1,2
243,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,7,1,-1,0,0,1,1,2,1,0,1,0,2,1,0,1,2,2,0,1,2,0,2,0,2,2,1,0,0,2,2,0,1,1,2
244,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,6,0,0,7,2,2,0,2,1,2,2,0,1,2,2,1,1,1,2,1,0,2,0,0,1,0,2,2,1,1,2,0,2,0,2,2
245,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,7,1,17,0,1,1,0,1,0,0,2,1,2,2,2,1,0,1,2,1,2,1,0,2,1,2,0,0,0,1,2,2,0,2,2
246,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,6,0,0,-1,2,0,1,2,0,1,0,0,1,0,0,0,1,1,0,2,2,0,1,2,0,0,0,2,1,1,1,0,0,1,0,2
247,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,6,0,0,-1,0,2,2,0,2,2,2,2,2,2,1,0,1,2,2,0,0,1,2,0,0,2,2,0,1,2,0,0,1,2,0,2
248,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,6,0,0,7,2,1,1,0,2,1,2,1,0,0,0,1,1,0,1,2,0,0,2,0,0,2,2,0,2,0,0,1,0,2,0,1
249,0,1,2,0,0,3,2,6,28,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,1,2,4,2,1,4,2,-1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,1,1,1,0,0,1,2,1,1,2,0,1,0,1,2,0,1,1
250,0,1,2,0,0,4,3,2,27,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,1,1,2,4,2,1,4,2,-1,0,2,2,0,1,1,2,0,0,1,2,2,0,0,1,0,1,1,1,2,1,0,1,2,1,1,0,2,0,1,1,0
251,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,1,1,23,2,2,1,1,0,1,1,2,2,2,2,2,0,2,1,0,2,1,0,0,1,1,2,1,2,2,0,2,1,0,0,2
252,0,1,2,0,0,3,2,7,31,13,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,1,1,2,4,2,1,4,2,-1,1,0,2,2,1,0,2,1,0,0,1,2,2,0,1,1,2,1,2,0,1,2,2,0,1,1,1,0,2,0,2,2
253,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,6,0,0,-1,1,2,1,2,0,1,2,1,1,1,1,2,2,1,0,1,1,0,1,0,0,1,0,2,0,1,2,0,2,1,0,0
254,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,0,0,1,2,3,1,-1,2,1,0,0,2,0,2,0,0,0,2,2,0,1,1,1,1,0,2,0,1,1,1,2,0,0,1,0,1,2,1,2
255,0,0,1,1,1,5,1,5,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,0,2,0,0,1,2,3,1,-1,0,0,2,1,1,2,0,2,2,1,2,2,1,2,0,2,1,0,0,2,1,2,1,1,0,0,1,1,0,2,1,0
256,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,1,4,3,2,0,2,0,2,2,2,2,2,0,2,2,0,0,0,1,0,0,1,2,2,2,2,2,2,0,1,1,2,1,2,1,2,2,1
257,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,6,0,0,-1,1,2,2,2,0,1,1,1,2,0,0,0,0,1,0,0,2,1,1,2,1,2,2,2,2,0,2,1,0,0,1,0
258,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,1,1,23,1,0,2,1,2,0,2,1,1,2,1,1,1,1,2,0,1,1,2,1,1,0,1,0,1,0,1,0,0,0,1,0
259,0,0,1,1,1,5,5,3,-1,14,0,0,0,0,0,0,0,0,0,0,2,4,5,5,3,0,0,2,0,0,3,5,7,1,-1,1,2,1,1,2,1,2,0,0,0,2,0,1,2,0,1,1,0,0,2,2,1,2,2,0,1,2,2,1,1,0,1
260,0,1,2,0,0,4,0,2,21,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,1,1,2,4,2,1,4,2,-1,0,0,2,1,1,0,1,1,2,2,0,2,0,2,2,2,0,2,2,1,2,2,1,0,0,2,0,2,1,0,0,0
261,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,3,2,0,-1,2,2,1,0,0,0,1,0,2,2,1,2,1,1,1,1,1,2,0,0,0,2,1,1,2,1,1,2,2,0,1,0
262,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,7,1,17,2,1,0,0,2,1,1,1,2,2,0,1,1,2,1,2,0,0,0,0,1,0,2,2,1,1,1,2,0,0,1,0
263,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,4,4,6,0,1,0,0,1,0,2,1,1,1,2,1,2,0,1,0,2,0,1,2,1,2,1,2,0,0,0,1,1,1,2,2,1,0
264,0,1,2,0,0,3,2,6,-1,-1,-1,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,1,1,2,4,2,1,4,2,-1,0,0,2,1,0,0,0,0,0,0,2,2,2,0,2,2,0,2,1,1,2,2,1,2,0,0,2,1,2,1,1,1
265,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,6,0,0,1,0,1,1,1,0,2,0,2,1,1,1,1,1,0,0,1,1,1,1,0,2,2,0,0,2,1,0,2,2,0,0,1
266,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,6,0,0,1,1,2,2,1,0,0,1,1,0,0,2,2,0,2,2,2,2,2,2,0,0,0,0,2,0,2,2,1,2,2,1,2
267,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,1,4,3,2,0,4,2,1,1,0,0,0,2,2,2,2,2,2,1,0,1,1,0,1,0,1,0,2,1,1,2,2,0,2,0,0,0,2
268,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,7,1,17,1,2,2,0,1,1,1,0,1,0,0,0,2,2,1,1,0,1,1,0,2,2,0,2,1,0,0,0,1,1,1,0
269,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,6,0,0,-1,2,0,0,1,2,0,2,0,1,2,1,2,2,1,1,1,2,0,0,1,1,1,2,2,1,2,1,2,0,1,0,0
270,0,0,1,1,4,2,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,2,3,2,5,0,1,1,23,0,0,2,1,0,1,1,1,2,1,2,1,1,2,0,2,2,2,2,2,2,2,1,1,2,1,0,2,2,1,1,1
271,0,1,0,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,0,1,3,0,3,2,0,-1,1,2,2,1,2,2,2,0,2,2,2,0,2,1,2,1,2,2,1,2,1,2,2,2,0,1,2,0,0,2,2,1
272,0,1,2,0,3,4,3,2,1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,1,1,2,4,2,1,4,2,9,1,1,2,0,1,0,2,0,1,1,1,2,1,2,1,2,0,1,1,0,2,0,2,1,1,2,1,2,1,0,2,1
273,0,1,2,3,3,4,3,2,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,1,1,2,4,2,1,4,2,-1,0,1,1,0,2,2,0,1,0,2,1,1,1,1,1,0,1,1,0,2,0,1,1,1,1,2,1,0,1,2,0,2
