,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52,random_model_n53,random_model_n54,random_model_n55,random_model_n56,random_model_n57,random_model_n58,random_model_n59,random_model_n60,random_model_n61,random_model_n62,random_model_n63,random_model_n64
225,0,0,0,0,0,5,2,3,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,5,6,6,0,0,1,1,3,3,0,2,3,1,3,1,1,0,3,3,2,0,2,3,2,3,1,3,1,2,1,0,0,1,0,1,3,2,0,0,1,2,2,0,1,2,0,1,0,0,2,3,3,0,2,0,0,0,0,1,0,2,1,1,1,0,3,2,3,3
226,0,1,2,2,1,4,5,4,89,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,0,0,3,2,0,1,3,0,0,0,1,0,2,0,0,3,3,0,1,3,2,3,2,0,1,2,3,1,3,2,2,3,1,3,3,1,0,3,2,0,3,2,3,2,3,3,1,0,0,2,0,1,0,0,3,1,1,2,3,2,3,1,2,2,0,3,3,2,2,0,3,2,3
227,0,1,2,1,2,0,3,2,67,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,1,4,3,0,0,0,0,0,1,3,0,1,1,2,0,2,0,1,0,0,3,1,3,0,1,1,1,2,0,3,0,1,2,2,3,2,1,2,2,2,3,1,1,2,3,1,2,1,1,2,1,3,1,3,1,0,3,0,0,0,0,1,0,1,3,0,2,0,3,3,3
228,0,0,1,0,0,2,6,5,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,2,2,3,1,3,1,0,0,3,3,0,1,1,1,3,0,3,3,0,0,0,0,2,0,2,3,2,3,2,2,3,3,1,2,0,3,1,0,3,3,0,1,0,2,3,1,0,0,3,0,0,2,1,1,0,2,2,0,1,2,1,2,1,0,2,2,0,1,1,0,1,1
229,0,1,0,1,4,2,6,0,4,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,1,0,1,0,1,2,2,0,0,2,2,3,0,1,1,0,2,2,2,2,0,2,2,1,3,1,2,3,3,2,3,2,2,3,1,0,0,3,3,2,2,3,1,2,3,1,3,2,0,3,0,3,0,2,3,3,3,1,1,1,1,1,3,1,1,2,1,3,3,1,1,0,0
230,0,1,0,1,4,3,0,6,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,1,0,2,2,5,0,0,1,0,0,0,1,0,0,3,3,0,3,0,3,1,2,3,1,1,2,3,2,1,2,2,3,3,1,2,2,1,2,1,2,1,0,2,2,1,0,2,2,1,1,3,0,3,1,2,2,2,2,2,1,3,3,2,2,2,1,2,2,3,0,0
231,0,1,2,2,2,0,5,4,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,3,4,3,4,4,0,0,0,2,1,3,0,0,1,2,1,3,1,3,2,0,3,1,1,2,1,2,3,2,0,3,1,2,0,1,2,3,1,1,2,2,3,1,1,1,3,1,3,3,1,1,0,0,2,0,2,3,0,0,0,3,0,1,2,3,2,3,2,1,0,0
232,0,1,2,1,4,3,0,6,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,1,4,3,0,5,0,0,3,0,0,0,0,2,3,1,1,3,3,0,3,0,2,2,2,0,3,0,2,1,3,0,0,1,2,0,3,1,3,2,3,3,0,1,0,3,1,2,1,3,3,2,3,0,2,1,3,3,0,1,2,0,1,3,0,0,0,2,1,2,2,1
233,0,1,2,2,2,0,5,4,8,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,3,2,0,4,4,0,0,3,0,1,0,3,2,1,2,2,3,2,2,0,0,1,0,3,2,3,3,0,2,3,0,0,3,3,3,0,1,2,0,3,0,0,3,0,2,0,1,1,3,1,0,1,1,3,1,2,0,0,0,3,2,2,0,2,1,0,2,0,3,2,2
234,0,0,1,3,3,1,4,5,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,1,0,1,1,3,1,0,0,0,2,3,3,3,3,0,1,2,1,1,3,1,2,3,0,1,1,0,0,1,1,0,2,0,0,0,3,1,0,1,3,1,2,3,2,2,3,0,2,1,3,0,2,1,1,2,2,0,3,2,1,2,3,0,2,3,0,1,0,2,0,1,1
235,0,1,0,1,4,3,0,6,15,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,1,0,2,2,5,0,0,3,3,2,0,1,2,1,2,2,3,0,3,0,3,2,1,3,2,0,2,0,0,0,2,0,2,1,3,1,3,1,1,3,0,0,3,1,0,0,0,1,3,1,2,1,2,0,2,0,0,2,1,2,3,3,3,3,2,1,2,0,1,2,3
236,0,1,0,1,4,3,0,6,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,1,0,2,2,5,0,0,1,3,3,0,0,1,3,3,2,2,1,1,1,1,0,3,0,3,1,2,1,2,1,1,3,0,2,0,2,3,3,1,3,2,2,1,1,2,0,3,2,1,1,0,0,2,0,0,1,1,2,3,0,2,1,1,3,1,0,2,1,2,3,0
237,0,1,0,1,4,3,0,0,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,1,0,2,2,2,0,0,2,1,0,2,3,2,3,2,3,0,3,2,0,1,2,0,2,0,2,3,1,3,3,2,3,0,2,3,3,1,3,3,3,1,3,0,0,3,1,0,2,1,2,1,1,0,0,0,0,3,2,0,2,0,0,3,2,1,2,2,0,1,2,3
238,0,0,0,0,0,5,2,3,90,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,5,6,6,0,0,3,1,3,3,1,0,1,1,2,3,0,2,3,3,0,3,3,1,3,0,2,1,0,3,2,3,1,1,3,1,2,2,1,2,1,0,2,1,1,3,3,2,3,2,3,2,0,0,1,0,0,2,3,3,3,2,0,2,2,3,2,1,3,0
239,0,0,1,3,0,2,6,5,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,0,2,2,3,1,3,1,0,0,1,0,2,3,3,0,1,2,3,1,2,3,0,0,0,2,2,0,1,3,2,3,1,0,2,2,2,0,0,3,1,1,3,3,2,1,2,0,3,2,0,3,3,2,2,0,3,1,3,0,2,2,0,1,0,1,2,3,0,2,3,3,3,0
240,0,0,1,0,0,5,2,3,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,1,2,2,3,5,6,6,0,0,1,1,1,2,0,1,0,2,3,0,0,3,2,3,1,1,0,3,3,2,2,3,2,1,0,1,3,2,2,0,0,3,2,2,2,3,1,0,2,0,2,1,3,0,0,2,0,0,1,0,2,2,0,1,1,1,3,0,2,2,0,1,3,3
241,0,1,2,2,2,0,3,2,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,3,4,3,0,0,0,0,0,1,0,3,2,0,0,0,1,0,2,2,0,2,1,0,0,1,2,3,2,2,1,0,3,0,2,3,3,3,0,3,3,3,0,2,1,0,1,3,3,2,0,2,1,3,1,3,3,1,0,2,3,0,3,2,0,3,3,2,3,1,1,0
242,0,1,2,2,2,0,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,3,2,0,4,4,0,0,1,1,1,2,1,3,3,2,1,0,2,1,1,2,3,2,2,3,3,2,1,2,0,1,0,3,2,2,2,1,3,1,2,3,1,1,1,1,0,0,0,3,3,1,3,1,1,0,0,2,2,1,0,0,0,0,1,1,1,2,1,0,2,2
243,0,0,1,3,3,1,4,7,74,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,1,0,1,4,5,7,0,0,0,0,3,3,3,2,2,1,1,2,1,1,0,2,0,0,1,2,2,3,0,2,2,0,0,3,2,0,2,2,2,1,0,2,2,1,2,0,2,1,1,0,1,0,3,3,3,1,0,3,0,1,2,2,0,2,2,2,3,2,0,0,0,1
244,0,0,1,3,1,1,1,5,91,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,0,1,0,1,1,3,1,0,0,1,2,3,3,1,0,1,2,2,2,2,3,1,3,1,0,1,2,3,3,3,3,1,1,0,2,3,2,3,3,1,0,2,1,1,3,2,1,1,0,2,2,1,2,0,1,1,2,0,1,1,0,0,3,1,2,1,0,0,3,3,1,1,3
245,0,0,0,0,0,5,2,3,62,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,5,6,6,0,0,0,3,1,3,0,1,1,0,0,2,2,2,0,3,0,0,2,3,2,1,2,1,3,3,2,1,3,2,1,3,0,2,1,0,3,0,2,0,0,2,1,1,3,3,1,1,1,2,3,1,1,0,3,2,3,3,0,3,2,1,3,2,1,3
246,0,1,2,2,1,4,1,1,43,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,1,3,2,0,1,3,0,0,1,0,3,1,0,0,2,2,0,0,2,3,0,3,3,3,1,0,0,1,1,0,1,2,2,1,3,3,1,1,2,1,0,3,1,0,2,2,3,0,1,0,0,1,3,2,3,1,0,1,0,1,0,3,2,0,3,0,0,2,2,3,0,2
247,0,1,2,1,4,3,0,6,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,1,4,3,0,5,0,0,3,3,0,1,2,1,0,0,1,0,0,2,0,3,2,2,3,0,0,3,3,0,2,1,2,2,1,2,1,3,3,2,0,1,3,1,2,2,0,3,0,0,0,2,3,2,3,1,2,1,0,0,3,0,3,0,3,3,0,1,0,1,0,2
248,0,1,2,2,1,0,5,4,64,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,0,0,3,2,0,1,3,0,0,1,3,3,1,2,2,2,2,1,2,1,3,3,2,2,1,0,1,0,3,3,2,2,3,1,0,3,3,2,2,2,3,2,1,0,3,3,3,3,3,3,0,3,0,0,1,1,3,1,0,3,1,2,3,0,3,1,3,3,2,2,0,1,0
249,0,0,1,3,3,1,4,5,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,5,7,0,0,1,0,1,1,3,1,0,0,1,3,2,0,2,1,3,3,2,2,2,0,0,1,2,1,3,1,3,3,3,0,1,2,0,1,0,0,0,3,1,3,3,1,3,3,1,0,2,2,2,2,2,0,0,1,2,0,3,0,0,1,2,2,0,3,1,0,3,1,2,0,3,0
250,0,1,2,2,2,0,5,4,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,3,2,0,4,4,0,0,3,2,3,0,1,0,0,1,3,1,2,1,3,0,3,3,0,2,2,1,2,2,2,1,2,1,0,2,3,3,2,1,3,3,2,3,3,1,1,2,3,1,3,0,2,2,2,2,2,3,2,2,3,2,2,1,3,1,0,3,1,3,1,2
251,0,0,1,3,3,1,4,7,31,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,1,0,1,4,3,1,0,0,1,0,1,3,1,0,3,1,3,2,2,1,0,2,1,2,3,1,3,2,3,0,0,3,0,2,2,1,2,2,3,1,1,1,3,1,2,0,0,3,3,0,3,2,1,0,2,3,0,1,2,1,3,3,2,3,3,0,3,0,2,2,3,3
252,0,1,2,2,1,4,5,1,92,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,4,0,0,1,3,2,0,1,3,0,0,0,0,1,0,2,1,2,1,3,1,3,1,0,2,3,2,2,0,0,1,3,2,0,2,3,2,1,0,1,0,1,1,2,0,1,2,2,2,2,1,0,3,0,3,3,3,1,0,1,1,0,2,3,2,0,2,2,3,3,3,3,2,2,1
253,0,1,2,2,2,0,3,2,18,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,3,0,1,0,3,4,3,0,0,0,0,2,2,1,0,3,1,2,3,3,2,3,2,1,2,2,3,0,2,2,2,0,3,1,1,2,1,3,1,0,1,2,2,3,1,1,0,0,3,2,0,1,0,3,2,2,0,2,1,2,2,3,0,0,3,2,3,3,0,3,2,1,3,0,0
254,0,0,0,0,0,5,2,3,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,5,6,6,0,0,1,3,0,2,1,1,1,3,1,1,1,3,2,2,1,1,0,0,3,0,2,2,2,0,3,3,1,0,3,1,1,2,3,1,2,1,2,2,2,3,3,0,3,1,0,1,3,3,2,1,3,1,2,2,3,2,3,1,2,2,3,2,0,1
255,0,1,0,1,4,3,0,6,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,1,0,2,2,5,0,0,3,0,0,0,1,0,1,0,3,2,1,2,1,2,0,3,3,3,1,0,1,0,1,3,2,1,2,0,3,3,3,2,2,2,2,1,2,0,2,2,2,2,2,3,3,3,0,3,0,3,2,0,0,2,1,1,1,3,3,2,3,2,1,0
256,0,0,1,3,3,1,4,7,31,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,1,0,1,4,3,1,0,0,0,0,0,2,2,1,1,0,3,3,3,2,2,3,1,3,3,0,1,0,0,2,1,3,1,1,1,1,2,0,2,2,1,2,1,0,2,3,0,1,3,2,0,0,0,3,1,3,3,3,0,1,1,1,0,1,1,0,1,1,1,2,3,3
257,0,1,2,2,1,4,5,4,64,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,0,0,3,2,0,1,3,0,0,0,0,3,2,0,0,1,2,2,2,3,3,1,2,0,1,0,3,2,2,3,0,0,1,1,0,1,1,3,0,0,3,1,2,1,0,0,2,3,0,3,1,0,0,3,1,0,3,0,2,0,2,2,2,0,3,1,0,3,1,3,2,2,1
258,0,0,1,3,1,4,1,1,43,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,1,3,2,0,1,3,0,0,2,2,0,2,1,1,3,0,0,1,0,2,3,1,2,3,0,2,0,0,1,3,0,3,2,0,2,1,0,3,1,0,0,0,3,0,3,0,3,3,0,3,2,2,0,0,3,1,2,2,1,1,1,0,1,0,0,2,2,2,0,2,1,3
259,0,1,2,1,4,3,3,2,23,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,1,0,1,4,3,0,0,0,0,1,1,3,1,0,2,1,0,1,3,1,3,3,1,2,3,1,0,1,3,2,3,1,2,0,3,3,0,3,1,2,0,0,2,2,3,2,1,1,1,0,2,2,3,2,1,1,0,2,3,0,1,0,3,0,2,2,1,0,3,1,2,3,0
260,0,0,1,3,3,1,4,7,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,1,0,1,4,5,7,0,0,3,1,2,1,1,1,3,1,1,0,3,0,2,3,3,3,0,0,3,2,1,2,0,0,3,1,2,0,0,0,2,0,2,3,0,3,0,2,0,3,3,0,3,0,1,1,3,0,0,2,2,1,2,2,3,1,2,0,0,1,3,3,1,1
261,0,1,2,2,2,0,5,4,93,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,3,2,0,4,4,0,0,0,3,0,0,2,1,2,1,1,1,0,1,1,1,1,1,3,2,2,2,0,1,3,2,2,3,3,2,3,3,0,2,0,3,0,1,0,2,0,0,0,1,0,3,2,0,1,0,2,0,3,3,1,2,0,1,1,1,1,1,2,2,2,2
262,0,1,0,1,4,3,0,0,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,0,1,0,2,2,2,0,0,2,3,1,1,2,1,0,2,3,1,1,3,3,2,2,2,1,0,1,2,1,1,2,1,1,3,0,3,3,2,0,1,1,3,2,1,3,2,3,2,3,0,1,2,0,3,0,0,0,2,3,1,3,3,3,3,2,3,2,3,3,3,1,2
263,0,1,0,1,4,3,0,0,94,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,0,1,0,2,2,2,0,0,2,3,2,3,3,3,0,0,2,3,3,1,3,3,2,0,0,2,2,2,1,1,0,1,0,3,0,0,1,3,3,3,0,1,1,0,3,0,3,3,3,0,0,1,1,3,3,2,1,2,0,0,3,3,0,0,2,0,3,3,1,0,0,1
264,0,1,2,2,1,4,1,1,43,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,1,3,2,0,1,3,0,0,2,3,3,1,2,2,1,3,2,0,1,1,0,1,0,1,3,2,0,2,3,1,1,2,3,3,0,0,3,1,1,2,2,2,2,1,0,0,2,0,3,2,1,0,1,1,3,0,1,2,3,3,3,2,0,1,0,0,1,1,3,1,3,0
265,0,1,2,2,2,0,3,2,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,3,4,3,0,0,0,0,0,3,0,2,0,0,1,2,1,0,2,1,1,2,0,1,2,0,2,3,2,1,1,3,1,3,1,1,1,3,3,1,1,2,0,1,2,0,3,1,0,1,2,1,2,2,2,3,3,0,3,0,2,0,3,3,1,1,2,3,3,2,1,3
266,0,0,0,0,0,5,2,3,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,2,2,3,5,6,6,0,0,1,2,0,3,2,2,2,3,1,2,0,3,1,0,3,1,1,0,3,3,3,1,1,3,2,1,1,2,2,1,3,1,3,3,0,0,2,1,0,1,0,3,0,0,1,2,1,0,3,1,0,1,0,1,3,2,3,0,1,0,0,1,0,2
267,0,1,2,2,2,0,3,2,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,3,4,3,0,0,0,0,3,2,0,3,1,0,1,0,0,2,1,0,3,2,3,2,3,1,1,3,2,3,3,2,0,0,2,0,2,3,0,2,2,1,1,1,1,1,3,3,0,3,0,3,2,3,1,1,0,1,2,2,0,0,1,2,3,3,1,3,3,1,2,2
268,0,1,0,1,4,2,6,0,49,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,1,2,1,0,2,2,2,0,0,3,1,3,3,2,0,1,1,1,2,1,1,3,0,1,0,0,1,2,2,3,0,2,3,1,0,3,2,1,3,2,0,3,1,0,2,3,3,2,2,2,2,0,3,0,3,3,1,2,0,1,0,0,2,1,1,2,0,2,2,3,0,0,2
269,0,0,1,3,1,4,1,5,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,0,1,0,1,1,3,1,0,0,3,1,2,3,3,2,3,1,1,0,1,1,3,1,2,1,0,2,3,3,0,3,0,1,2,3,1,0,3,2,2,1,3,1,3,0,1,0,3,1,1,2,2,3,0,2,3,1,2,0,0,2,2,3,1,2,0,3,0,3,3,0,3,2
270,0,1,2,2,1,4,1,1,37,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,0,3,2,1,1,3,0,0,1,2,2,2,1,2,3,1,2,2,0,0,3,3,2,2,3,3,3,0,3,2,2,3,0,3,0,1,1,2,3,0,0,0,2,0,0,0,2,0,3,1,2,0,0,0,1,3,3,3,0,3,0,1,3,3,0,0,0,3,1,1,3,0
271,0,1,2,2,2,0,3,2,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,3,4,3,0,0,0,0,1,1,3,1,0,3,2,2,2,0,1,2,1,3,3,2,1,3,2,3,3,2,1,2,3,2,2,1,2,2,0,2,2,3,2,0,2,3,2,1,2,3,0,1,0,2,0,3,3,1,1,1,2,1,2,0,1,0,0,2,2,2,2,0
272,0,0,1,3,3,1,4,5,95,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,1,0,1,1,3,1,0,0,1,1,3,0,3,2,0,0,1,3,1,1,0,1,2,2,2,1,3,3,0,2,2,2,2,1,0,0,2,2,2,0,0,1,1,1,2,2,2,3,2,3,0,3,2,1,1,3,1,0,2,1,2,3,0,0,3,2,1,0,0,0,1,3
273,0,0,1,3,3,1,4,5,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,6,0,0,1,0,1,4,3,1,0,0,2,0,1,0,2,0,1,1,3,2,2,0,3,3,0,3,1,0,0,2,1,3,0,2,3,3,1,3,2,3,1,0,0,3,3,1,3,2,3,0,3,3,3,1,0,2,2,0,0,2,0,3,1,3,1,3,1,1,2,0,1,1,0,1
274,0,1,2,1,4,3,0,6,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,1,4,3,0,5,0,0,0,0,0,0,2,1,2,0,1,2,0,3,1,3,0,1,3,2,1,1,3,3,2,3,2,2,1,3,2,0,1,1,0,0,2,2,3,1,0,3,1,0,0,2,1,0,2,3,3,2,2,1,0,2,3,3,1,1,3,2,0,3,3,2
275,0,0,0,0,0,2,6,0,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,2,2,3,1,3,2,0,0,3,2,1,2,1,3,2,0,2,2,3,1,0,0,1,0,2,3,0,1,2,2,1,1,1,0,3,0,3,1,0,0,2,2,0,1,3,2,2,3,1,3,2,3,3,3,2,3,1,0,2,1,1,1,1,0,0,3,2,0,0,1,0,2
276,0,1,0,1,4,3,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,2,1,0,2,2,2,0,0,0,1,0,1,1,2,2,0,0,1,1,0,0,1,0,0,2,2,0,2,1,3,0,1,0,3,3,1,3,0,1,3,0,2,3,0,3,0,2,3,0,0,3,1,1,1,2,0,0,0,1,2,0,3,1,1,2,2,0,0,2,2,0,1
277,0,1,2,2,2,0,5,4,78,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,3,2,0,4,4,0,0,2,0,1,2,1,0,0,1,2,0,0,2,0,3,2,2,2,2,1,0,3,3,3,0,2,2,1,2,2,0,2,2,2,1,2,2,0,2,0,3,3,1,3,2,0,2,2,2,2,0,0,2,1,3,0,0,1,2,3,1,1,3,0,0
278,0,1,2,2,1,4,1,1,43,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,1,3,2,0,1,3,0,0,0,1,2,3,2,2,2,0,1,1,0,3,1,2,1,0,3,2,3,0,2,1,3,2,2,1,3,0,2,3,0,3,0,0,0,3,1,0,3,2,1,0,2,1,0,1,3,1,1,2,1,0,2,1,3,3,1,2,0,1,3,3,2,1
279,0,0,1,3,3,1,4,7,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,1,0,1,4,5,7,0,0,1,0,3,3,1,2,3,0,0,2,3,2,2,1,2,1,1,0,2,3,2,3,1,1,2,2,2,1,3,2,1,3,2,1,0,1,2,2,0,3,1,1,3,1,3,2,2,2,1,2,0,2,1,3,0,1,2,1,0,2,2,1,2,3
280,0,1,2,2,2,0,3,2,79,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,3,4,3,0,0,0,0,0,1,1,1,1,1,0,1,0,2,2,2,2,3,2,2,1,3,0,0,0,3,0,1,0,0,2,1,0,3,2,1,3,2,0,2,1,2,3,2,2,3,0,1,0,3,2,2,3,0,0,3,1,1,2,0,3,1,0,2,1,0,2,0
281,0,1,0,1,4,2,6,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,2,0,1,0,1,0,1,3,2,0,0,3,0,0,1,1,2,0,2,1,0,1,3,0,2,1,0,1,0,3,1,1,2,0,2,3,1,1,3,1,3,3,2,2,0,2,1,1,3,3,3,2,3,1,3,1,2,3,1,2,3,0,3,3,1,2,0,0,1,3,1,1,3,3,1
282,0,1,2,2,1,0,3,2,37,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,0,3,2,1,1,3,0,0,2,0,1,2,2,0,3,0,2,0,2,2,2,3,3,3,3,3,3,2,3,2,0,1,1,3,0,0,1,1,3,0,0,3,1,3,0,1,0,0,0,1,2,1,3,0,0,1,3,0,3,2,2,3,0,1,0,3,2,1,0,0,1,3
283,0,1,2,2,1,4,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,1,3,2,1,1,3,0,0,3,2,3,2,1,3,1,2,0,1,2,2,2,0,1,1,0,3,3,3,2,1,1,1,3,0,3,0,0,1,1,0,1,3,3,3,2,1,2,3,3,2,0,2,2,1,1,1,1,1,3,2,1,3,0,3,0,0,3,0,1,2,1,0
284,0,0,1,3,1,4,1,1,47,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,1,0,1,4,1,3,0,0,0,2,0,1,0,2,0,1,1,3,1,0,0,2,1,2,1,1,2,3,3,0,1,0,1,3,1,0,3,1,3,1,0,1,3,2,3,1,0,1,2,1,1,2,2,1,2,1,0,0,2,3,1,2,0,0,1,1,1,1,3,3,1,2
285,0,1,0,1,4,2,6,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,1,0,1,0,1,2,2,0,0,2,3,1,2,0,2,1,0,0,3,3,0,3,2,1,0,0,1,2,0,3,3,2,3,3,0,3,0,1,0,3,3,1,2,3,3,2,0,1,2,0,2,1,1,3,3,3,3,0,0,1,3,2,0,1,0,3,0,1,2,0,1,1,3
286,0,0,1,0,0,1,4,5,66,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,1,0,1,1,3,1,0,0,2,3,1,1,0,2,0,1,3,1,0,0,2,3,1,0,1,0,0,1,1,2,1,3,2,3,2,2,3,0,0,0,1,0,2,1,0,1,1,2,1,0,3,1,1,2,1,3,2,1,1,1,2,1,0,2,0,2,3,0,1,2,0,1
287,0,0,0,0,0,2,6,0,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,2,2,3,1,3,2,0,0,0,1,0,3,1,1,2,3,0,2,2,3,3,2,1,1,0,0,2,2,1,1,0,3,0,1,2,0,2,1,3,1,1,2,3,2,2,2,2,3,0,0,2,3,3,3,0,3,1,3,3,0,1,1,3,3,2,0,0,2,3,2,0,3
